Line_ModelName,Mode_Planned,Line_Name,Line_Description,Area
R1001-2,BRT,מטרונית 1001,מרכזית הקריות-גילעם (דרך הקריון),Haifa
R1002-1,BRT,מטרונית 1002,גילעם-מרכזית הקריות (דרך בן גוריון),Haifa
R1002-2,BRT,מטרונית 1002,מרכזית הקריות-גילעם (דרך בן גוריון),Haifa
R1003-1,BRT,מטרונית 1003,"גילעם-מרכזית הקריות (דרך גבעת טל ואח""י אילת)",Haifa
R1003-2,BRT,מטרונית 1003,"מרכזית הקריות-גילעם (דרך גבעת טל ואח""י אילת)",Haifa
rail_6_1,Suburban Rail,Karmiel-Haifa,כרמיאל-חיפה,National
rail_7_1,Suburban Rail,Tveria-Atlit,טבריה-עתלית,National
rail_7_2,Suburban Rail,Atlit-Tveria,עתלית-טבריה,National
rail_10_1,Suburban Rail,Beit Shean-Herzliya,בית שאן-הרצליה,National
rail_10_2,Suburban Rail,Herzliya-Beit Shean,הרצליה-בית שאן,National
rail_11_1,Suburban Rail,Zichron-Shoket,זיכרון יעקב-שוקת,National
rail_11_2,Suburban Rail,Shoket-Zichron,שוקת-זיכרון יעקב,National
rail_12_1,Suburban Rail,Zichron-Ashkelon,זיכרון יעקב-אשקלון,National
rail_12_2,Suburban Rail,Ashkelon-Zichron,אשקלון-זיכרון יעקב,National
rail_15_1,Suburban Rail,Hadera-Shoket,חדרה-שוקת,National
rail_15_2,Suburban Rail,Shoket-Hadera,שוקת-חדרה,National
rail_16_1,Suburban Rail,Herzliya-Beit Shemesh,הרצליה-בית שמש,National
rail_16_2,Suburban Rail,Beit Shemesh-Herzliya,בית שמש-הרצליה,National
rail_17_1,Suburban Rail,Rosh Haayin-Beer Sheva,ראש העין-באר שבע,National
rail_19_1,Suburban Rail,Modiin-Ashdod,מודיעין-אשדוד,National
rail_19_2,Suburban Rail,Ashdod-Modiin,אשדוד-מודיעין,National
rail_20_1,Suburban Rail,Modiin-Beer Sheva,מודיעין-באר שבע,National
rail_20_2,Suburban Rail,Beer Sheva-Modiin,באר שבע-מודיעין,National
rail_22_1,Suburban Rail,Beer Sheva-Arad,באר שבע-ערד,National
rail_22_2,Suburban Rail,Arad-Beer Sheva,ערד-באר שבע,National
rail_23_1,Suburban Rail,Beer Sheva-Yeruham,באר  שבע-ירוחם,National
rail_6_2,Suburban Rail,Haifa-Karmiel,חיפה-כרמיאל,National
rail_17_2,Suburban Rail,Beer Sheva-Rosh Haayin,באר שבע-ראש העין,National
rail_23_2,Suburban Rail,Yeruham-Beer Sheva,ירוחם-באר שבע,National
