node,degree,n_lines,betweenness,closeness,pagerank,eigenvector,x,y,lines,modes,mode_score,hub_score
511046,3,4,0.0313,0.090432,0.000628,0.0,168996.4743,637419.2035,"L1-N, L1-S, L2-N, L2-S",LRT,5,0.25876
36108,2,8,0.016302,0.079678,0.000957,0.000432,205103.4615,745000.9238,"m0110a, m0120a, m0210a, m0220a, m0310a, m0320a, m0410a, m0820a",BRT,4,0.258754
36644,4,4,0.00153,0.07844,0.000942,0.001239,200278.3263,746171.4682,"m0320a, m0520a, m0810a, m0820a",BRT,4,0.258692
51104,3,4,0.011195,0.079019,0.00082,0.0,218371.0931,626508.2988,"LRT41, LRT42, LRT61, LRT62",LRT,5,0.258462
51186,3,4,0.002406,0.085283,0.00077,0.0,221009.7782,633302.6506,"LRT61, LRT62, LRT71, LRT72",LRT,5,0.25838
51161,3,4,0.03456,0.086497,0.000662,0.0,218828.5289,632000.2937,"LRT31, LRT32, LRT41, LRT42",LRT,5,0.258373
512082,3,2,0.004888,0.104378,0.000633,0.0,175589.8201,640536.7641,"Turquoise_N, Turquoise_S",LRT,5,0.258337
512121,4,2,0.004203,0.087344,0.000703,0.0,167489.2027,635902.655,"RedN, RedS",LRT,5,0.258033
511049,4,2,5.2e-05,0.093828,0.000636,0.0,168251.6029,631890.6357,"L1-N, L1-S",LRT,5,0.257928
515049,3,2,0.000128,0.116936,0.000714,0.0,180340.092,652508.9076,"BRT1-1, BRT1-2",BRT,4,0.257749
511035,5,1,0.013601,0.113061,0.00028,1.6e-05,181498.3442,646303.6858,L1-S,LRT,5,0.257659
511209,2,4,0.013811,0.099272,0.000694,0.0,186615.2424,691688.3765,"LRT121, LRT122, LRT151, LRT152",LRT,5,0.257406
36195,4,5,0.006813,0.081298,0.000834,0.000167,198044.964,748442.5348,"m0110a, m0120a, m0620a, m0710a, m0720a",BRT,4,0.257329
512240,3,1,0.002168,0.106983,0.00065,0.0,175107.2003,642630.0976,Light-Blue_S,LRT,5,0.257302
511079,2,4,0.038625,0.097907,0.000637,0.0,172401.6213,639860.3351,"L1-N, L1-S, L2-N, L2-S",LRT,5,0.257274
1028,5,6,0.002021,0.080116,0.000678,1.7e-05,196242.8709,747525.9166,"R326-1, R326-2, R327-1, R327-2, R328-1, R328-2",BRT,4,0.257145
511187,3,2,0.013592,0.102057,0.000624,0.0,190518.4048,687839.3584,"LRT151, LRT152",LRT,5,0.257143
511272,2,2,0.00802,0.117118,0.000593,0.0,180804.3089,654617.1463,"LRT-L1, LRT-L2",LRT,5,0.25703
512120,2,4,0.086474,0.086124,0.000635,0.0,165611.9911,625946.5595,"Orange_N, Orange_S, RedN, RedS",LRT,5,0.256948
525323,3,2,0.001257,0.120531,0.00066,0.0,181119.7194,674478.43,"Hz-KS1, Hz-KS2",BRT,4,0.25694
512236,2,2,0.003571,0.111289,0.000675,4e-06,180910.7438,646157.298,"Turquoise_N, Turquoise_S",LRT,5,0.256933
51157,4,4,0.02874,0.08269,0.000576,0.0,218858.5769,629300.2407,"LRT31, LRT32, LRT41, LRT42",LRT,5,0.256765
525515,3,2,0.011141,0.10867,0.00077,0.0,190378.5453,667136.1308,"BRT-1, BRT-2",BRT,4,0.256552
36138,5,4,0.002757,0.07082,0.000878,1e-06,209130.279,750584.764,"m0110a, m0120a, m0410a, m0820a",BRT,4,0.25626
1010,6,4,0.001207,0.074743,0.0007,1.8e-05,206979.299,749922.8102,"R1002-1, R1002-2, R323-1, R323-2",BRT,4,0.256003
512181,2,4,0.082564,0.081509,0.00069,0.0,162996.7864,622840.2668,"Orange_N, Orange_S, RedN, RedS",LRT,5,0.255767
511230,2,2,0.002511,0.102284,0.000774,0.0,186120.459,687250.0358,"LRT141, LRT142","BRT, LRT",5,0.255708
512118,2,3,0.001994,0.103008,0.000716,0.0,177809.9985,642848.2791,"Light-Blue_S, Turquoise_N, Turquoise_S",LRT,5,0.255552
512237,3,1,0.012826,0.106654,0.000606,0.0,175763.3131,642129.8639,Light-Blue_S,LRT,5,0.255547
51188,3,4,0.045523,0.085305,0.000617,0.0,220905.1014,633679.6936,"LRT41, LRT42, LRT51, LRT52",LRT,5,0.255517
511080,2,4,0.037483,0.097115,0.000633,0.0,171942.715,639871.6544,"L1-N, L1-S, L2-N, L2-S",LRT,5,0.255502
